rain_band,fclass,tod,n,mean_deviation,sd,ci_low,ci_high,pct_speed_loss,dry_reference,delta_vs_none_pct
moderate,tertiary,midday,704,0.005595693877011996,0.08589651389268094,-0.000749389061097284,0.011940776815121276,0.56,-0.002740822772804854,0.834
moderate,tertiary,night,306,-0.0024520919673572668,0.18267234295531354,-0.022919374293625828,0.018015190358911293,-0.25,-0.030436083952326973,2.798
moderate,tertiary,pm_peak,750,-0.015436833691025638,0.2060812603410259,-0.030185609172642673,-0.0006880582094086051,-1.54,-0.017628613228117117,0.219
moderate,trunk,am_peak,2376,-0.010563481912471636,0.19208182582785993,-0.018286928572161684,-0.0028400352527815876,-1.06,-0.03029436169838255,1.973
moderate,trunk,evening,5254,-0.006408352808502742,0.16594438368824296,-0.01089545146887449,-0.0019212541481309943,-0.64,-0.005028122647110194,-0.138
moderate,trunk,midday,3451,-0.01480991359834985,0.13448198151422103,-0.01929674462476636,-0.010323082571933338,-1.48,-0.002382927203962122,-1.243
moderate,trunk,night,830,-0.0985873187920908,0.4224360031277355,-0.12732620767107528,-0.06984842991310632,-9.86,-0.03708716552066216,-6.15
moderate,trunk,pm_peak,4076,-0.000960510230597462,0.37711539874437355,-0.012537756538602446,0.010616736077407521,-0.1,-0.057496229167891204,5.654
moderate,trunk_link,am_peak,48,0.0029449303315861783,0.14742524737125454,-0.0387611466893766,0.04465100735254896,0.29,-0.009611108543108952,1.256
moderate,trunk_link,evening,36,-0.02533924765258779,0.20910561265482158,-0.09364582648615358,0.042967331180978,-2.53,-0.01621722650736168,-0.912
none,motorway,am_peak,407,-0.015414324552252024,0.2125541494389336,-0.036064344590829876,0.005235695486325831,-1.54,-0.015414324552252024,0.0
none,motorway,evening,370,0.010318873722365623,0.12221680868767258,-0.0021342462389891837,0.022771993683720432,1.03,0.010318873722365623,0.0
none,motorway,midday,568,-0.023916316184194972,0.3048202990253552,-0.04898420797717739,0.001151575608787446,-2.39,-0.023916316184194972,0.0
none,motorway,night,784,-0.0009896011698952336,0.1761053208577173,-0.013316747208808627,0.011337544869018161,-0.1,-0.0009896011698952336,0.0
none,motorway,pm_peak,381,-0.10590407518593072,0.543774735465221,-0.16050558256485814,-0.05130256780700329,-10.59,-0.10590407518593072,0.0
none,other,am_peak,4286,-0.10911768774833451,0.5636903446459104,-0.12599341925087557,-0.09224195624579345,-10.91,-0.10911768774833451,0.0
none,other,evening,4100,-0.05815157377618972,0.35658881131669573,-0.0690665772505518,-0.04723657030182764,-5.82,-0.05815157377618972,0.0
none,other,midday,4844,-0.008627114228835022,0.2552629876808805,-0.015815541369857,-0.0014386870878130443,-0.86,-0.008627114228835022,0.0
none,other,night,5807,-0.06752318439174243,0.485852691262683,-0.0800193506333936,-0.05502701815009126,-6.75,-0.06752318439174243,0.0
none,other,pm_peak,3756,-0.033960096971481245,0.2957818263916369,-0.04341934882905839,-0.024500845113904098,-3.4,-0.033960096971481245,0.0
none,primary,am_peak,27049,-0.04396060677931083,0.333354817465396,-0.04793324688956861,-0.03998796666905305,-4.4,-0.04396060677931083,0.0
none,primary,evening,25707,-0.009634244810942365,0.15715200470212287,-0.011555310967574532,-0.007713178654310198,-0.96,-0.009634244810942365,0.0
none,primary,midday,25991,-0.002340929296193947,0.16718851571510443,-0.004373487739636641,-0.0003083708527512525,-0.23,-0.002340929296193947,0.0
none,primary,night,37959,-0.046461815630724435,0.3287306448439065,-0.049768790577178194,-0.043154840684270675,-4.65,-0.046461815630724435,0.0
none,primary,pm_peak,21465,-0.054614802725694495,0.47338612834781896,-0.06094763776797025,-0.04828196768341874,-5.46,-0.054614802725694495,0.0
none,secondary,am_peak,40421,-0.004620077455948731,0.1953187163053529,-0.006524171650730757,-0.0027159832611667054,-0.46,-0.004620077455948731,0.0
none,secondary,evening,34020,-0.021024958192257952,0.40110533447788616,-0.02528721268977375,-0.016762703694742156,-2.1,-0.021024958192257952,0.0
none,secondary,midday,32136,-0.001018101948377915,0.15523507901887282,-0.002715337233832703,0.0006791333370768733,-0.1,-0.001018101948377915,0.0
none,secondary,night,49519,-0.02954653265092356,0.7242547649805108,-0.03592554617212796,-0.023167519129719157,-2.95,-0.02954653265092356,0.0
none,secondary,pm_peak,31329,0.0035346538619222905,0.2206580919957399,0.0010912532030503226,0.005978054520794258,0.35,0.0035346538619222905,0.0
none,secondary_link,am_peak,1581,-0.09976834475800568,0.44139655071780304,-0.12152595008237922,-0.07801073943363214,-9.98,-0.09976834475800568,0.0
none,secondary_link,evening,1530,-0.05136596525289333,0.2820457647015846,-0.06549856181936939,-0.03723336868641727,-5.14,-0.05136596525289333,0.0
none,secondary_link,midday,1952,0.0018502754999966356,0.14644755068962992,-0.00464638691767379,0.00834693791766706,0.19,0.0018502754999966356,0.0
none,secondary_link,night,2563,-0.06310127991270921,0.3973304911715257,-0.07848373605345038,-0.04771882377196803,-6.31,-0.06310127991270921,0.0
